결제일시(입금확인일),주문일시,주문경로,주문번호,상품코드,상품품목코드,수량,상품구매금액,총 배송비 (첫 품목에만 표시),배송비 추가결제,주문 상태
"2024-08-01 00:13:37","2024-08-01 00:16:42","네이버 페이","20240801-0000014","P00000CK","P00000CK000A","1","27900.00","3000.00","","배송중"
"2024-08-01 03:02:07","2024-08-01 03:02:07","모바일웹","20240801-0000021","P00000GU","P00000GU000C","1","86000.00","0.00","","배송중"
"2024-08-01 10:56:08","2024-08-01 10:56:08","모바일웹","20240801-0000042","P00000JD","P00000JD000K","1","77900.00","0.00","","배송중"
"2024-08-01 12:19:03","2024-08-01 12:19:03","모바일웹","20240801-0000061","P00000EE","P00000EE000B","1","53820.00","0.00","","배송중"
"2024-08-01 13:06:02","2024-08-01 13:05:41","쿠팡","20240801-0000075","13525526501","13525526501000000000000","1","54000.00","0.00","","배송중"
"2024-08-01 17:33:40","2024-08-01 17:36:45","네이버 페이","20240801-0000083","P00000EE","P00000EE000B","2","107640.00","0.00","","배송 준비중"
"2024-08-01 17:33:40","2024-08-01 17:36:45","네이버 페이","20240801-0000083","P000000O","P000000O000K","1","160000.00","","","배송 준비중"
"2024-08-01 20:47:45","2024-08-01 20:47:42","쿠팡","20240801-0000092","13524651195","13524651195000000000000","1","160000.00","0.00","","배송 준비중"
"2024-08-01 20:47:49","2024-08-01 20:47:33","쿠팡","20240801-0000101","13524651195","13524651195000000000000","1","89000.00","0.00","","배송 준비중"
"2024-08-01 21:12:05","2024-08-01 21:16:09","네이버 페이","20240801-0000117","P00000CK","P00000CK000B","1","52800.00","0.00","","배송 준비중"
"2024-08-01 23:20:47","2024-08-01 23:20:37","쿠팡","20240801-0000121","13525526501","13525526501000000000000","1","54000.00","0.00","","배송 준비중"
